,Unnamed: 0,Sygnatura czasowa,ProgrammingExp,PersonalWorkExp,FoundWork,StartWorkSearchDate,SelfRateWorkFindTime,WorkFindTime,SelfRateAdequteTimeWorkFindTime,InterviewsBeforeFoundWork,CVsSend,CVsPercentRespondRate,CVsTechInterviewPercentRespondRate,Consent,SelfClassifiedRole,TechStack,Language1,LanguageRate1,Language2,LanguageRate2,Language3,LanguageRate3,Communicativeness,SelfOrganization,AnalyticalSkills,Creativity,ProjectManagement,Discipline,Curiosity,Resourcefulness,TimeAvailability,PublicSpeeches,Presenting,Negocjowanie,Innovation,Leadership,ToleranceToChangeAndUncertainty,Writing,NoDescribedSoftSkills,Studies,Bootcamp,OpenSourceContribution,PublicLibraryCreation,PersonalAppCreation,Freelancing,PersonalProjectLaunching,OnlineCoursesCertificates,ValidGitHub
39,39,2021/04/27 5:22:54 PM EET,48,True,True,2017-01-01,8,1,Nie jestem pewien,4,20,30.0,20.0,True,Backend Developer,Python;JavaScript;C/C++;PHP;HTML / CSS,PHP,8,Python,7,,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False
40,40,2021/04/27 5:29:45 PM EET,60,True,True,2021-04-27,10,1,Tak,1,2,100.0,100.0,False,Embedded Developer,C/C++,C++,8,C,7,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
41,41,2021/04/27 5:32:19 PM EET,60,True,True,2018-01-01,10,1,Nie jestem pewien,1,3,100.0,100.0,False,Fullstack,Python;Java;JavaScript;TypeScript;HTML / CSS,Java,8,JS,8,Python,7,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
42,42,2021/04/27 5:35:32 PM EET,60,True,True,2015-11-01,7,3,Tak,2,5,50.0,50.0,True,Frontend Developer,JavaScript;C#;TypeScript,,0,,0,,0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
43,43,2021/04/27 5:40:27 PM EET,42,True,False,2019-04-27,1,26,Nie,2,15,30.0,10.0,True,Frontend Developer,Python;JavaScript;HTML / CSS,Python,3,JavaScript,8,HTML/CSS,10,False,True,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True,True,True,False,True
44,44,2021/04/27 5:59:45 PM EET,12,True,True,2019-08-01,2,9,Raczej tak,8,20,40.0,100.0,True,Fullstack,Python;JavaScript;TypeScript;HTML / CSS,Python,6,,0,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,True
45,45,2021/04/27 6:04:18 PM EET,48,True,True,2020-01-01,10,1,Tak,3,6,50.0,50.0,True,Backend Developer,PHP;HTML / CSS,PHP,7,HTML/CSS,3,JS,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
46,46,2021/04/27 7:15:25 PM EET,60,True,True,2007-06-06,10,1,Tak,1,1,100.0,100.0,True,Backend Developer,C#,,0,,0,,0,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
47,47,2021/04/27 8:14:40 PM EET,60,True,True,2019-04-01,7,2,Tak,2,21,10.0,10.0,False,Fullstack,Python;Java;JavaScript;C#;C/C++;TypeScript;HTML / CSS;Powershell,C#,8,JavaScript,7,C++,7,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
48,48,2021/04/27 9:03:51 PM EET,60,True,True,2020-10-01,7,4,Raczej nie,4,40,10.0,10.0,True,Combination of Machine Learning and Data Science ,Python;C#;Scala;HTML / CSS,,0,,0,,0,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,False,True,True,False
49,49,2021/04/27 9:49:32 PM EET,24,False,False,2021-01-01,4,4,Raczej nie,1,40,30.0,10.0,True,Backend Developer,Java;C/C++,Java,4,C++,5,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True
50,50,2021/04/27 10:46:36 PM EET,18,True,False,2020-06-01,5,10,Raczej nie,8,35,30.0,50.0,True,Frontend Developer,JavaScript;HTML / CSS,Javascript ,4,Html/css,6,,0,True,True,True,True,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,True,True,False,True
51,51,2021/04/27 10:59:28 PM EET,18,True,True,2020-10-27,6,4,Raczej tak,2,4,100.0,80.0,True,Frontend Developer,JavaScript;TypeScript;HTML / CSS,HTML/CSS,7,Javascript,6,Typescript,5,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,True,False,True,True,True,True
52,52,2021/04/27 11:47:19 PM EET,36,True,True,2018-01-01,7,1,Tak,3,3,100.0,100.0,True,Fullstack,Java,java,10,mega zjebane jest ocenianie znajomości języka w skali od 1 do x,0,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True
53,53,2021/04/28 12:01:29 AM EET,48,True,True,2020-04-15,10,1,Raczej tak,1,1,100.0,100.0,True,Backend Developer,Java;JavaScript;Kotlin;TypeScript;HTML / CSS,Java,9,TypeScript,7,JavaScript,7,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True
54,54,2021/04/28 7:12:58 AM EET,60,True,True,2015-07-01,10,1,Tak,3,60,40.0,30.0,True,Fullstack,JavaScript;TypeScript;HTML / CSS,JS,10,Css,10,TypeScript ,10,True,True,True,True,True,True,False,False,False,True,True,False,True,True,True,False,False,False,False,True,True,True,True,True,True,True
55,55,2021/04/28 7:16:02 AM EET,60,False,True,2020-01-01,10,1,Nie jestem pewien,1,1,100.0,100.0,True,Frontend Developer,JavaScript;PHP;TypeScript;HTML / CSS,Js/ts,8,Html/css,10,Php,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
56,56,2021/04/28 7:41:53 AM EET,60,True,True,2014-09-01,10,1,Raczej nie,1,1,100.0,100.0,True,Fullstack,Python;JavaScript;PHP;HTML / CSS,PHP,9,JS,7,Python,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True
57,57,2021/04/28 9:46:42 AM EET,48,True,True,2020-06-20,6,8,Nie jestem pewien,5,20,30.0,20.0,True,Fullstack,JavaScript;C#;TypeScript;HTML / CSS,C#,7,JavaScript,6,TypeScript,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
58,58,2021/04/28 10:58:03 AM EET,60,True,True,2017-09-01,9,1,Raczej tak,1,3,100.0,80.0,True,Fullstack,Java;JavaScript;C#;Kotlin;TypeScript;HTML / CSS,Java,8,Typescript,5,C#,6,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
59,59,2021/04/28 12:56:10 PM EET,54,True,False,2021-03-31,5,1,Raczej nie,1,1,0.0,0.0,True,Backend Developer,Python;Java;JavaScript;C/C++;PHP;HTML / CSS,Java,6,JavaScript,7,C++,5,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
60,60,2021/04/28 7:20:31 PM EET,60,True,True,2016-02-01,5,4,Nie,6,20,20.0,20.0,False,Backend Developer,Python;Java;C#;HTML / CSS;ABAP,ABAP,8,C/C++,5,Java/C#,4,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True
61,61,2021/04/28 8:38:44 PM EET,24,True,True,2020-02-14,9,7,Raczej tak,3,100,10.0,10.0,True,Fullstack,Python;JavaScript;TypeScript;HTML / CSS,JavaScript ,8,Ts,7,Python,4,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
62,62,2021/04/29 12:35:31 AM EET,30,True,False,2019-04-29,4,14,Raczej nie,8,50,20.0,10.0,True,Backend / mobile,Java;C#;Kotlin,Java,7,C#,5,Kotlin,6,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
63,63,2021/04/29 7:18:22 AM EET,48,True,True,2019-06-01,9,1,Tak,1,5,80.0,60.0,True,Backend Developer,C#,C#,7,,0,,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
64,64,2021/04/30 9:36:49 AM EET,36,True,True,2006-11-01,8,1,Tak,1,5,20.0,20.0,True,Security,C#;HTML / CSS;VBA,C#,5,VBA,9,,0,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False
65,65,2021/04/30 9:48:31 PM EET,12,True,True,2020-04-01,10,1,Tak,3,7,80.0,80.0,True,Fullstack,JavaScript;C#;TypeScript;Perl;HTML / CSS,C#,7,Javascript,5,Typescript,5,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
66,66,2021/05/03 3:00:58 PM EET,60,True,True,1996-01-01,9,1,Tak,1,1,100.0,100.0,True,Architect,Python;Java;JavaScript;C#;C/C++;TypeScript;Go;Rust;HTML / CSS,C#,10,C,10,Python,10,True,True,True,True,True,True,False,False,False,False,True,False,True,True,True,False,False,True,False,False,False,True,True,False,False,False
