,Sygnatura czasowa,🧭 Jak długo trwa Twoja przygoda z programowaniem?,"👨‍💻 Czy tworzyłeś coś ""własnego""?",🔨 Czy udało Ci się znaleźć pracę jako programista/tka?,📅 W którym roku rozpocząłeś/aś szukać pracy jako Entry / Junior programista?,🚶 Jak oceniasz szybkość znalezienia pracy?,⌚ Jak długo to trwało?,"🕰️ Oceniasz, że znalazłeś/aś pracę w czasie adekwatnym do umiejętności?",👨‍💼 Ile rozmów kwalifikacyjnych musiałeś/aś przejść zanim udało Ci się znaleźć pracę?,📬 Do ilu pracodawców wysłałeś/aś CV (mniej więcej)?,👨‍⚖️ Jaki procent pracodawców się do Ciebie odezwało po przesłaniu CV1?,👨‍🔧 Jaki procent pracodawców zaprosiło Cię na rozmowę techniczną po przesłaniu CV1?,📅 W którym roku rozpocząłeś/aś szukać pracę jako Entry / Junior programista?,🚶 Twoim zdaniem - jak oceniasz proces rekrutacji w zawodzie?,⌚ Jak dawno rozpocząłeś/aś poszukiwać pracy?,🕰️ Jak oceniasz swoje umięjetności?,👨‍💼 Ile rozmów kwalifikacyjnych już przeszedłeś/przeszłaś?,📬 Do ilu pracodawców wysłałeś CV (mniej więcej)?,👨‍⚖️ Jaki procent pracodawców się do Ciebie odezwało po przesłaniu CV2?,👨‍🔧 Jaki procent pracodawców zaprosiło Cię na rozmowę techniczną po przesłaniu CV2?,👨‍🔬 Jakie miałeś/aś doświadczenie przed znalezieniem pracy?,🔏 Zgoda na przetwarzanie informacji ,😶 Jakbyś się zaklasyfikował/a?,📦 Tech Stack,🟢 Język #1,🟢 Ocena Języka #1,🔵 Język #2,🔵 Ocena Języka #2,🟣 Język #3,🟣 Ocena Języka #3,🐻 Umiejętności Mięciutkie 
10,2021/04/26 6:07:30 PM EET,3 lata,Tak,Tak,2019-12-01,6.0,6 miesięcy,"Raczej tak - na to, co jestem w stanie sobą zareprezentować, to mogło to mniej więcej tyle trwać",6.0,20,70%,30%,,,,,,,,,Studia;Stworzenie własnego programu/apki;Uruchomienie własnego projektu,Tak,Backend Developer,Java;Kotlin,Java,7.0,Kotlin,4.0,,,Komunikatywność;Umiejętności Analityczne;Zarządzanie Projektem;Ciekawość;Nie opisałem żadnych umiejętności miękkich i raczej też nie da się wydedukować takich z mojego CV
11,2021/04/26 6:35:16 PM EET,3 lata,Nie,Tak,2020-03-10,10.0,1 miesiąc,Nie jestem pewien,1.0,3,30%,30%,,,,,,,,,Studia;Stworzenie własnego programu/apki;Kursy Online / Certyfikaty,Tak,Fullstack,Python;Java;JavaScript;C#;PHP;TypeScript;HTML / CSS,C#,6.0,Python,5.0,JavaScript,6.0,Nie opisałem żadnych umiejętności miękkich i raczej też nie da się wydedukować takich z mojego CV
12,2021/04/26 6:43:39 PM EET,5 lat+,Tak,Tak,2017-05-01,7.0,2 miesiące,"Raczej tak - na to, co jestem w stanie sobą zareprezentować, to mogło to mniej więcej tyle trwać",2.0,3,70%,70%,,,,,,,,,Studia;Stworzenie własnego programu/apki,Tak,Software Engineer,Python;C/C++;Rust,Rust,8.0,Python,6.0,C++,7.0,Komunikatywność;Ciekawość;Innowacyjność
13,2021/04/26 7:00:35 PM EET,"4,5 roku",Tak,Tak,2016-10-01,4.0,1 miesiąc,"Raczej tak - na to, co jestem w stanie sobą zareprezentować, to mogło to mniej więcej tyle trwać",4.0,7,90%,70%,,,,,,,,,Studia;Stworzenie własnego programu/apki;Freelancerskie zlecenia,Tak,Mobile/Backend/Cloud Developer,Python;Java;JavaScript;C#;C/C++;Swift;Kotlin;TypeScript;Go;HTML / CSS;Elixir,C#,9.0,JavaScript,6.0,Go,4.0,Komunikatywność;Umiejętności Analityczne;Kreatywność;Zaradność
14,2021/04/26 7:49:55 PM EET,3 lata,Tak,Tak,2019-01-01,10.0,1 miesiąc,Tak,3.0,3,100%,100%,,,,,,,,,Bootcamp,Tak,Backend Developer,Java,Java,9.0,Javascript,3.0,Typescript,1.0,Komunikatywność;Organizacja;Umiejętności Analityczne;Dyscyplina;Ciekawość;Dostępność Czasowa;Prezentowanie;Tolerancja na zmiany i niepewność
15,2021/04/26 8:05:40 PM EET,5 lat+,Tak,Tak,2020-06-01,2.0,6 miesięcy,Nie,6.0,40,50%,30%,,,,,,,,,Studia,Tak,Fullstack,Python;C#,C#,8.0,Python,6.0,Java,5.0,Komunikatywność;Ciekawość;Zaradność
16,2021/04/26 8:14:10 PM EET,3 lata,Tak,Nie,,,,,,,,,2024-06-30,1.0,1 miesiąc,Nie jestem pewien,1.0,0,0%,0%,Kontrybuowanie do open-source;Stworzenie publicznej libki;Stworzenie własnego programu/apki;Freelancerskie zlecenia;Uruchomienie własnego projektu,Tak,Fullstack,Python;JavaScript;HTML / CSS,python,6.0,javascript,3.0,,,Nie opisałem żadnych umiejętności miękkich i raczej też nie da się wydedukować takich z mojego CV
17,2021/04/26 8:35:38 PM EET,5 lat+,Nie,Tak,2020-02-01,5.0,ponad 1 rok,Nie jestem pewien,1.0,1,100%,100%,,,,,,,,,Studia,Tak,Backend + testy,Java,Java,8.0,Kotlin,5.0,Python/C++,3.0,Nie opisałem żadnych umiejętności miękkich i raczej też nie da się wydedukować takich z mojego CV
18,2021/04/26 8:58:43 PM EET,2 lata,Tak,Nie,,,,,,,,,2020-04-01,4.0,12 miesięcy,"Jestem w stanie sobą coś zaprezentować, ale nie uważam, żeby to było sporo",5.0,15,60%,30%,Studia,Tak,Data Science,Python;Java;R,Python,4.0,Java,5.0,R,5.0,Organizacja;Umiejętności Analityczne;Kreatywność;Zarządzanie Projektem;Dyscyplina;Ciekawość;Zaradność;Tolerancja na zmiany i niepewność
19,2021/04/26 9:44:45 PM EET,5 lat+,Nie,Tak,2016-04-04,8.0,2 miesiące,Tak,3.0,6,80%,50%,,,,,,,,,Studia,Nie,Fullstack,Java;JavaScript;TypeScript;HTML / CSS,Java,8.0,JavaScript,5.0,TypeScript,6.0,Nie opisałem żadnych umiejętności miękkich i raczej też nie da się wydedukować takich z mojego CV
20,2021/04/26 11:18:45 PM EET,5 lat+,Tak,Nie,,,,,,,,,2018-06-30,7.0,12 miesięcy,"Nie jestem nie wiadomo jakim ekspertem, ale jednak uważam, że umiem wystarczająco",3.0,10,30%,10%,Studia,Tak,Backend Developer,Python;Java;C#;C/C++;Matlab,C/C++,5.0,Matlab,5.0,Python,2.0,Kreatywność
21,2021/04/27 12:28:08 AM EET,"2,5 roku",Nie,Tak,2021-01-01,9.0,1 miesiąc,Tak,1.0,1,100%,100%,,,,,,,,,Studia,Tak,Konsultant,SAP,,,,,,,Komunikatywność;Organizacja;Ciekawość;Zaradność;Nie opisałem żadnych umiejętności miękkich i raczej też nie da się wydedukować takich z mojego CV;Dostępność Czasowa
22,2021/04/27 9:38:47 AM EET,5 lat+,Tak,Tak,2018-05-01,10.0,2 miesiące,Tak,3.0,6,70%,70%,,,,,,,,,Studia;Stworzenie własnego programu/apki;Freelancerskie zlecenia;Uruchomienie własnego projektu;Kursy Online / Certyfikaty,Tak,Fullstack,Python;Java;JavaScript;TypeScript;Rust;HTML / CSS,Python,8.0,Typescript,7.0,Rust,4.0,Umiejętności Analityczne;Kreatywność;Ciekawość
23,2021/04/27 10:46:57 AM EET,5 lat+,Tak,Tak,2021-04-27,10.0,1 miesiąc,Tak,1.0,0,100%,100%,,,,,,,,,Stworzenie własnego programu/apki;Freelancerskie zlecenia;Kursy Online / Certyfikaty,Tak,Fullstack,Python;JavaScript;Kotlin;TypeScript;HTML / CSS,,,,,,,
24,2021/04/27 11:21:57 AM EET,5 lat+,Tak,Tak,2000-03-08,9.0,1 miesiąc,Tak,1.0,1,100%,100%,,,,,,,,,Kontrybuowanie do open-source;Stworzenie własnego programu/apki;Freelancerskie zlecenia;Uruchomienie własnego projektu,Tak,Architect,"Python;JavaScript;C/C++;PHP;Ruby;Lua;Perl;HTML / CSS;Clojure, PowerShell, PDKSH",Clojure,9.0,Ruby,7.0,PowerShell,6.0,Komunikatywność;Organizacja;Umiejętności Analityczne;Kreatywność;Ciekawość;Publiczne Przemówienia;Prezentowanie;Pisanie (reporty/dokumentacje);Innowacyjność;Przywództwo;Cierpliwość
25,2021/04/27 11:25:12 AM EET,5 lat+,Tak,Tak,2014-07-01,2.0,ponad 1 rok,Nie jestem pewien,3.0,10,50%,50%,,,,,,,,,Studia;Kursy Online / Certyfikaty,Tak,Machine Learning / AI,Python;C/C++;R;Scala;Matlab,Python,8.0,Scala,6.0,C++,4.0,Publiczne Przemówienia;Prezentowanie
26,2021/04/27 11:28:42 AM EET,"3,5 roku",Nie,Nie,,,,,,,,,2021-03-01,5.0,2 miesiące,Nie jestem pewien,1.0,5,20%,20%,Studia;Udział w projekcie GameDevowym,Tak,Backend Developer,C#,C#,5.0,C++,4.0,HTML,5.0,Komunikatywność;Organizacja;Umiejętności Analityczne;Ciekawość;Dostępność Czasowa;Publiczne Przemówienia;Prezentowanie;Negocjowanie;Przywództwo
27,2021/04/27 11:34:10 AM EET,"3,5 roku",Tak,Nie,,,,,,,,,2020-05-27,3.0,11 miesięcy,"Jestem w stanie sobą coś zaprezentować, ale nie uważam, żeby to było sporo",1.0,5,50%,10%,Studia;Stworzenie własnego programu/apki;Kursy Online / Certyfikaty,Tak,Mobile Developer,Java;PHP;Kotlin;HTML / CSS,Java,5.0,PHP,6.0,Kotlin,4.0,Nie opisałem żadnych umiejętności miękkich i raczej też nie da się wydedukować takich z mojego CV
28,2021/04/27 11:50:11 AM EET,5 lat+,Tak,Tak,2019-05-01,9.0,1 miesiąc,Tak,1.0,4,80%,80%,,,,,,,,,"Studia;Stworzenie własnego programu/apki;Uruchomienie własnego projektu;Dużo wiedzy z różnych książek (Wzorce, C#, Agile, T-SQL, itp.) i nauka praktycznie w trakcie ich czytania",Tak,Fullstack,Java;JavaScript;C#;TypeScript;HTML / CSS;T-SQL,C#,9.0,T-SQL,7.0,TypeScript,7.0,Komunikatywność;Kreatywność
29,2021/04/27 12:10:33 PM EET,"3,5 roku",Tak,Tak,2020-02-02,10.0,4 miesiące,Tak,1.0,1,100%,100%,,,,,,,,,Studia,Tak,Fullstack,Python;Java;JavaScript;C/C++;R;TypeScript;HTML / CSS,Typescript,9.0,Python,7.0,Java,6.0,Umiejętności Analityczne;Ciekawość
30,2021/04/27 12:39:43 PM EET,4 lata,Tak,Tak,2019-04-01,7.0,1 miesiąc,Tak,1.0,10,50%,30%,,,,,,,,,Studia;Stworzenie własnego programu/apki,Tak,Fullstack,Java;JavaScript;Kotlin;TypeScript;HTML / CSS,Java,7.0,JavaScript,5.0,Kotlin,5.0,Umiejętności Analityczne;Prezentowanie;Pisanie (reporty/dokumentacje)
31,2021/04/27 2:10:05 PM EET,4 lata,Tak,Tak,2021-04-12,10.0,2 miesiące,Raczej nie,1.0,50,10%,10%,,,,,,,,,Studia;Stworzenie własnego programu/apki;Uruchomienie własnego projektu,Tak,Backend Developer,Python;Java;C#;C/C++,C++,8.0,Java,7.0,Python,6.0,Komunikatywność;Umiejętności Analityczne;Kreatywność;Ciekawość;Zaradność;Pisanie (reporty/dokumentacje);Tolerancja na zmiany i niepewność;Innowacyjność
32,2021/04/27 4:30:41 PM EET,5 lat+,Tak,Tak,2017-01-01,7.0,2 miesiące,Raczej tak,6.0,20,40%,20%,,,,,,,,,Studia;Stworzenie własnego programu/apki,Tak,Backend Developer,Python;Java;JavaScript;C#;C/C++;R;Rust,c++,9.0,rust,6.0,c#,6.0,Komunikatywność;Umiejętności Analityczne;Kreatywność;Ciekawość;Zaradność
33,2021/04/27 4:42:53 PM EET,"0,5 roku",Nie,Nie,,,,,,,,,2021-04-27,1.0,1 miesiąc,Nie jestem pewien,10.0,10,80%,80%,Studia;Kursy Online / Certyfikaty,Nie,admin sieci,IOS,polski,10.0,angielski,7.0,,,Komunikatywność;Organizacja;Umiejętności Analityczne;Kreatywność;Zarządzanie Projektem;Dyscyplina;Ciekawość;Zaradność;Nie opisałem żadnych umiejętności miękkich i raczej też nie da się wydedukować takich z mojego CV;Dostępność Czasowa;Publiczne Przemówienia;Prezentowanie;Pisanie (reporty/dokumentacje);Negocjowanie;Tolerancja na zmiany i niepewność;Innowacyjność;Przywództwo
34,2021/04/27 4:47:49 PM EET,4 lata,Tak,Tak,2018-07-01,2.0,"ponad 1,5 roku",Raczej nie,5.0,15,40%,20%,,,,,,,,,Studia;Stworzenie własnego programu/apki,Tak,Backend Developer,C#;C/C++,C++,7.0,C#,6.0,Python,2.0,Komunikatywność;Umiejętności Analityczne;Ciekawość;Dostępność Czasowa
35,2021/04/27 5:03:39 PM EET,2 lata,Nie,Tak,2019-03-01,7.0,3 miesiące,Tak,2.0,5,60%,40%,,,,,,,,,Studia;Kursy Online / Certyfikaty,Tak,Fullstack,Java;JavaScript;HTML / CSS,Java,5.0,JavaScript,5.0,HTML/CSS,6.0,Komunikatywność;Kreatywność;Ciekawość;Zaradność;Prezentowanie;Tolerancja na zmiany i niepewność
36,2021/04/27 5:08:19 PM EET,5 lat+,Tak,Tak,2014-10-01,10.0,1 miesiąc,Tak,2.0,5,60%,60%,,,,,,,,,Studia;Stworzenie własnego programu/apki;Freelancerskie zlecenia,Tak,Backend Developer,Ruby,Ruby,10.0,,,,,Komunikatywność;Organizacja;Umiejętności Analityczne;Dyscyplina
37,2021/04/27 5:11:42 PM EET,3 lata,Tak,Tak,2017-01-01,10.0,1 miesiąc,Tak,1.0,3,70%,70%,,,,,,,,,Studia;Stworzenie własnego programu/apki;Freelancerskie zlecenia;Uruchomienie własnego projektu;Kursy Online / Certyfikaty,Tak,Machine Learning / AI,Python;C#;R,Python ,7.0,R,5.0,C#,3.0,Organizacja;Umiejętności Analityczne;Pisanie (reporty/dokumentacje)
38,2021/04/27 5:11:52 PM EET,5 lat+,Tak,Tak,2021-03-27,7.0,1 miesiąc,Raczej tak,3.0,20,60%,10%,,,,,,,,,Stworzenie własnego programu/apki;Uruchomienie własnego projektu,Tak,Fullstack,Java;C#;Kotlin,C#,9.0,Java,8.0,Kotlin,6.0,Komunikatywność;Umiejętności Analityczne;Kreatywność;Zarządzanie Projektem;Ciekawość;Dostępność Czasowa;Publiczne Przemówienia;Prezentowanie;Tolerancja na zmiany i niepewność;Innowacyjność
39,2021/04/27 5:22:54 PM EET,4 lata,Tak,Tak,2017-01-01,8.0,1 miesiąc,Nie jestem pewien,4.0,20,30%,20%,,,,,,,,,Studia;Stworzenie własnego programu/apki;Uruchomienie własnego projektu,Tak,Backend Developer,Python;JavaScript;C/C++;PHP;HTML / CSS,PHP,8.0,Python,7.0,,,Organizacja;Umiejętności Analityczne;Ciekawość;Pisanie (reporty/dokumentacje)
40,2021/04/27 5:29:45 PM EET,5 lat+,Tak,Tak,2021-04-27,10.0,1 miesiąc,Tak,1.0,2,100%,100%,,,,,,,,,Studia,Nie,Embedded Developer,C/C++,C++,8.0,C,7.0,,,Nie umieszczam umiejętności miękkich w CV bo i tak nikt na to nie patrzy
41,2021/04/27 5:32:19 PM EET,5 lat+,Tak,Tak,2018-01-01,10.0,1 miesiąc,Nie jestem pewien,1.0,3,100%,100%,,,,,,,,,Studia,Nie,Fullstack,Python;Java;JavaScript;TypeScript;HTML / CSS,Java,8.0,JS,8.0,Python,7.0,Komunikatywność;Organizacja;Umiejętności Analityczne
42,2021/04/27 5:35:32 PM EET,5 lat+,Tak,Tak,2015-11-01,7.0,3 miesiące,Tak,2.0,5,50%,50%,,,,,,,,,Studia;Stworzenie własnego programu/apki,Tak,Frontend Developer,JavaScript;C#;TypeScript,,,,,,,Komunikatywność;Umiejętności Analityczne;Zarządzanie Projektem
43,2021/04/27 5:40:27 PM EET,"3,5 roku",Tak,Nie,,,,,,,,,2019-04-27,1.0,ponad 2 lata,Z moimi umiejętnościami powinienem znaleźć pracę dużo szybciej,2.0,10-20,30%,10%,Studia;Stworzenie publicznej libki;Stworzenie własnego programu/apki;Freelancerskie zlecenia;Uruchomienie własnego projektu,Tak,Frontend Developer,Python;JavaScript;HTML / CSS,Python,3.0,JavaScript,8.0,HTML/CSS,10.0,Organizacja;Umiejętności Analityczne;Kreatywność;Dyscyplina;Ciekawość;Dostępność Czasowa;Tolerancja na zmiany i niepewność;Innowacyjność
44,2021/04/27 5:59:45 PM EET,1 rok,Tak,Tak,2019-08-01,2.0,9 miesięcy,Raczej tak,8.0,20,40%,100%,,,,,,,,,Studia;Stworzenie własnego programu/apki;Kursy Online / Certyfikaty,Tak,Fullstack,Python;JavaScript;TypeScript;HTML / CSS,Python,6.0,,,,,Nie opisałem żadnych umiejętności miękkich i raczej też nie da się wydedukować takich z mojego CV
45,2021/04/27 6:04:18 PM EET,4 lata,Tak,Tak,2020-01-01,10.0,1 miesiąc,Tak,3.0,6,50%,50%,,,,,,,,,Stworzenie własnego programu/apki;Płatny staż załatwiony przez szkołę,Tak,Backend Developer,PHP;HTML / CSS,PHP,7.0,HTML/CSS,3.0,JS,2.0,Dyscyplina;Ciekawość;Tolerancja na zmiany i niepewność
46,2021/04/27 7:15:25 PM EET,5 lat+,Tak,Tak,2007-06-06,10.0,1 miesiąc,Tak,1.0,1,100%,100%,,,,,,,,,Studia,Tak,Backend Developer,C#,,,,,,,
47,2021/04/27 8:14:40 PM EET,5 lat+,Tak,Tak,2019-04-01,7.0,2 miesiące,Tak,2.0,20+,10%,10%,,,,,,,,,Żadnego,Nie,Fullstack,Python;Java;JavaScript;C#;C/C++;TypeScript;HTML / CSS;Powershell,C#,8.0,JavaScript,7.0,C++,7.0,Komunikatywność;Ciekawość;Innowacyjność
48,2021/04/27 9:03:51 PM EET,5 lat+,Tak,Tak,2020-10-01,7.0,4 miesiące,Raczej nie,4.0,40,10%,10%,,,,,,,,,Studia;Stworzenie własnego programu/apki;Uruchomienie własnego projektu;Kursy Online / Certyfikaty,Tak,Combination of Machine Learning and Data Science ,Python;C#;Scala;HTML / CSS,,,,,,,
49,2021/04/27 9:49:32 PM EET,2 lata,Nie,Nie,,,,,,,,,2021-01-01,4.0,4 miesiące,"Nie jestem nie wiadomo jakim ekspertem, ale jednak uważam, że umiem wystarczająco",1.0,40,30%,10%,Studia,Tak,Backend Developer,Java;C/C++,Java,4.0,C++,5.0,,,Nie opisałem żadnych umiejętności miękkich i raczej też nie da się wydedukować takich z mojego CV
50,2021/04/27 10:46:36 PM EET,"1,5 roku",Tak,Nie,,,,,,,,,2020-06-01,5.0,10 miesięcy,"Nie jestem nie wiadomo jakim ekspertem, ale jednak uważam, że umiem wystarczająco",8.0,30-40,30%,50%,Studia;Kontrybuowanie do open-source;Stworzenie własnego programu/apki;Freelancerskie zlecenia;Uruchomienie własnego projektu,Tak,Frontend Developer,JavaScript;HTML / CSS,Javascript ,4.0,Html/css,6.0,,,Komunikatywność;Organizacja;Umiejętności Analityczne;Kreatywność;Dyscyplina;Ciekawość;Zaradność;Publiczne Przemówienia;Prezentowanie;Tolerancja na zmiany i niepewność;Samodzielność 
51,2021/04/27 10:59:28 PM EET,"1,5 roku",Tak,Tak,2020-10-27,6.0,4 miesiące,Raczej tak,2.0,4/5,100%,80%,,,,,,,,,Studia;Kontrybuowanie do open-source;Stworzenie publicznej libki;Freelancerskie zlecenia;Uruchomienie własnego projektu;Kursy Online / Certyfikaty,Tak,Frontend Developer,JavaScript;TypeScript;HTML / CSS,HTML/CSS,7.0,Javascript,6.0,Typescript,5.0,Komunikatywność;Kreatywność;Dyscyplina;Ciekawość;Prezentowanie;Tolerancja na zmiany i niepewność
52,2021/04/27 11:47:19 PM EET,3 lata,Tak,Tak,2018-01-01,7.0,1 miesiąc,Tak,3.0,3,100%,100%,,,,,,,,,Studia;Stworzenie własnego programu/apki;Uruchomienie własnego projektu,Tak,Fullstack,Java,java,10.0,mega zjebane jest ocenianie znajomości języka w skali od 1 do x,,,,Ciekawość;Zaradność
53,2021/04/28 12:01:29 AM EET,4 lata,Tak,Tak,2020-04-15,10.0,1 miesiąc,Raczej tak,1.0,1,100%,100%,,,,,,,,,Studia;Stworzenie własnego programu/apki,Tak,Backend Developer,Java;JavaScript;Kotlin;TypeScript;HTML / CSS,Java,9.0,TypeScript,7.0,JavaScript,7.0,Komunikatywność;Umiejętności Analityczne;Dyscyplina;Ciekawość;Zaradność;Tolerancja na zmiany i niepewność
